Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
-0.5719,Sun Jun 10 19:04:08 +0000 2018,0.239,0.761,0.0,"As the Poldarks look to rebuild their marriage, Cornwall struggles under Warleggan pressure. 

#Poldark | 9pm |… https://t.co/yPvJnKdRr9",0,@BBC
0.4588,Sun Jun 10 18:02:27 +0000 2018,0.0,0.88,0.12,Can we interest you in a little cockroach milk to go with your cereal? Because this could be the next big food fad.… https://t.co/Vk8TrTfYQr,1,@BBC
0.0,Sun Jun 10 17:03:05 +0000 2018,0.0,1.0,0.0,Emily Davison became a martyr to the suffragette cause after running in front of the king's horse at the Epsom Derb… https://t.co/ULpY95lcsi,2,@BBC
0.0,Sun Jun 10 16:02:05 +0000 2018,0.0,1.0,0.0,Little girls don’t stay little forever. https://t.co/3yThJBbcUs,3,@BBC
0.6808,Sun Jun 10 15:22:00 +0000 2018,0.0,0.804,0.196,"RT @BBCOne: ""We are woman, we have loud voices and lightbulb hearts...
Our bodies are like miracles, we are proud of what we are.""

Celebra…",4,@BBC
0.7003,Sun Jun 10 15:19:47 +0000 2018,0.0,0.799,0.201,"RT @BBCOne: Women across the UK are marching together to create a living artwork, to mark 100 years since the first British women won the v…",5,@BBC
-0.25,Sun Jun 10 15:01:05 +0000 2018,0.236,0.61,0.154,"Is feminism actually just a war on men? @RachelParris has some thoughts... 😂
#TheMashReport https://t.co/t31I5bFWgn",6,@BBC
0.0,Sun Jun 10 14:38:18 +0000 2018,0.0,1.0,0.0,"RT @CBeebiesHQ: Would you consider an alternative to mainstream education? 

@BBCNews #SundayThoughts https://t.co/hwileHwd1K",7,@BBC
0.5719,Sun Jun 10 14:37:55 +0000 2018,0.0,0.861,0.139,"RT @BBCOne: We're celebrating female voices and achievements across the BBC to mark 100 years since women got the vote. 

Hands up to Bake…",8,@BBC
-0.4215,Sun Jun 10 13:02:07 +0000 2018,0.256,0.6,0.144,"⚒🎬 @chrishemsworth returns as the hammer-wielding hero fighting a sinister race of Dark Elves...

Thor: The Dark Wo… https://t.co/PQJ6HnKDfI",9,@BBC
